iter	Passed	Remaining
0	135	135297
1	136	68312
2	137	45830
3	138	34568
4	139	27858
5	140	23339
6	141	20115
7	142	17694
8	143	15806
9	144	14293
10	145	13068
11	146	12041
12	147	11171
13	148	10459
14	149	9820
15	150	9251
16	151	8749
17	152	8302
18	153	7904
19	153	7541
20	154	7213
21	155	6916
22	156	6644
23	157	6393
24	158	6163
25	159	5977
26	160	5782
27	161	5604
28	162	5443
29	163	5286
30	164	5138
31	165	4999
32	166	4869
33	167	4746
34	167	4628
35	168	4519
36	169	4415
37	170	4316
38	171	4220
39	172	4130
40	172	4046
41	173	3968
42	175	3895
43	176	3833
44	177	3770
45	179	3720
46	180	3665
47	181	3603
48	182	3547
49	183	3493
50	184	3440
51	185	3389
52	186	3338
53	187	3288
54	188	3241
55	189	3194
56	190	3153
57	191	3112
58	192	3073
59	193	3036
60	194	2997
61	195	2961
62	196	2925
63	197	2891
64	198	2859
65	199	2826
66	200	2794
67	201	2764
68	202	2735
69	203	2706
70	204	2678
71	205	2652
72	206	2628
73	207	2601
74	208	2574
75	209	2550
76	210	2526
77	211	2501
78	212	2478
79	213	2455
80	214	2433
81	215	2410
82	215	2384
83	216	2363
84	217	2343
85	218	2324
86	219	2305
87	220	2288
88	221	2271
89	223	2264
90	225	2247
91	226	2231
92	227	2215
93	228	2199
94	229	2182
95	229	2165
96	230	2149
97	231	2133
98	232	2117
99	233	2101
100	234	2086
101	235	2073
102	236	2062
103	237	2049
104	238	2035
105	239	2022
106	240	2009
107	241	1996
108	242	1983
109	243	1970
110	244	1957
111	245	1944
112	246	1931
113	246	1918
114	247	1906
115	248	1893
116	249	1880
117	249	1868
118	251	1859
119	252	1848
120	252	1836
121	253	1824
122	254	1814
123	255	1803
124	256	1792
125	256	1781
126	257	1770
127	258	1761
128	259	1752
129	260	1743
130	261	1733
131	262	1723
132	262	1714
133	263	1704
134	264	1694
135	265	1686
136	266	1678
137	267	1669
138	268	1660
139	269	1652
140	269	1643
141	270	1634
142	271	1625
143	272	1617
144	272	1609
145	273	1600
146	274	1592
147	275	1584
148	276	1576
149	276	1568
150	277	1561
151	278	1553
152	279	1545
153	280	1538
154	281	1531
155	281	1525
156	282	1518
157	283	1513
158	284	1506
159	285	1499
160	286	1491
161	287	1485
162	287	1478
163	288	1471
164	289	1464
165	290	1458
166	291	1451
167	291	1445
168	292	1439
169	293	1433
170	294	1426
171	295	1421
172	296	1415
173	297	1410
174	298	1405
175	298	1399
176	299	1393
177	300	1387
178	301	1382
179	302	1376
180	302	1370
181	303	1365
182	304	1359
183	305	1354
184	306	1348
185	306	1343
186	307	1338
187	308	1333
188	309	1328
189	310	1323
190	311	1318
191	312	1313
192	312	1308
193	313	1303
194	314	1298
195	315	1294
196	316	1289
197	317	1284
198	317	1279
199	318	1274
200	319	1269
201	320	1264
202	320	1260
203	321	1255
204	322	1251
205	323	1246
206	324	1242
207	325	1238
208	326	1234
209	327	1230
210	327	1226
211	328	1221
212	329	1217
213	330	1213
214	331	1209
215	332	1205
216	332	1200
217	333	1196
218	334	1192
219	335	1187
220	335	1183
221	336	1180
222	337	1176
223	338	1172
224	339	1168
225	340	1165
226	341	1161
227	342	1158
228	342	1154
229	343	1150
230	344	1147
231	345	1143
232	346	1140
233	347	1136
234	348	1132
235	348	1129
236	349	1125
237	350	1122
238	351	1118
239	352	1114
240	352	1111
241	353	1107
242	354	1104
243	355	1102
244	356	1099
245	357	1095
246	358	1092
247	359	1089
248	360	1086
249	360	1082
250	361	1079
251	362	1075
252	363	1072
253	363	1069
254	364	1065
255	365	1062
256	366	1059
257	367	1057
258	368	1054
259	370	1053
260	372	1054
261	373	1051
262	374	1048
263	375	1045
264	376	1042
265	376	1040
266	377	1037
267	378	1035
268	379	1032
269	380	1029
270	381	1026
271	382	1023
272	383	1020
273	384	1018
274	385	1015
275	386	1012
276	386	1009
277	387	1007
278	388	1004
279	389	1001
280	390	998
281	391	996
282	391	993
283	392	990
284	393	987
285	394	984
286	395	981
287	396	979
288	396	976
289	397	973
290	398	970
291	399	967
292	400	965
293	401	963
294	401	960
295	402	958
296	403	955
297	404	952
298	405	950
299	406	947
300	406	944
301	407	942
302	408	939
303	409	936
304	410	934
305	410	931
306	411	929
307	412	926
308	413	924
309	414	921
310	415	919
311	415	917
312	416	914
313	417	912
314	418	909
315	419	907
316	420	905
317	420	902
318	421	900
319	422	897
320	423	895
321	424	892
322	424	890
323	425	887
324	426	885
325	427	883
326	428	880
327	429	878
328	429	876
329	430	874
330	431	871
331	432	869
332	433	867
333	433	865
334	434	862
335	435	860
336	436	858
337	437	856
338	438	854
339	438	852
340	439	849
341	440	847
342	441	845
343	442	843
344	443	841
345	443	839
346	444	837
347	445	835
348	446	832
349	447	830
350	448	828
351	448	826
352	449	824
353	450	822
354	451	820
355	452	817
356	452	815
357	453	813
358	454	811
359	455	809
360	456	807
361	456	805
362	457	803
363	458	801
364	459	799
365	460	797
366	461	795
367	461	793
368	462	791
369	463	789
370	464	787
371	465	785
372	465	783
373	466	781
374	467	779
375	468	777
376	469	775
377	469	773
378	470	771
379	471	769
380	472	767
381	473	765
382	473	763
383	474	761
384	475	759
385	476	757
386	477	756
387	478	754
388	479	752
389	479	750
390	480	748
391	481	746
392	482	744
393	483	743
394	483	741
395	484	739
396	485	737
397	486	735
398	487	733
399	487	731
400	488	729
401	489	728
402	490	726
403	491	724
404	491	722
405	492	720
406	493	719
407	494	717
408	495	715
409	496	714
410	497	712
411	498	711
412	499	709
413	500	707
414	500	706
415	501	704
416	502	702
417	503	701
418	504	699
419	505	697
420	506	696
421	507	694
422	508	693
423	509	691
424	510	690
425	510	688
426	511	686
427	512	685
428	513	683
429	514	681
430	515	679
431	515	678
432	516	676
433	517	675
434	518	673
435	519	671
436	520	670
437	521	669
438	522	667
439	523	666
440	524	664
441	525	663
442	526	661
443	526	659
444	527	658
445	528	656
446	529	655
447	530	653
448	531	651
449	531	650
450	532	648
451	533	647
452	534	645
453	535	643
454	536	642
455	537	640
456	537	639
457	538	637
458	539	636
459	540	634
460	541	632
461	542	631
462	542	629
463	543	628
464	544	626
465	545	624
466	546	623
467	547	621
468	547	620
469	548	618
470	549	617
471	550	616
472	551	614
473	552	613
474	553	611
475	554	610
476	554	608
477	555	606
478	556	605
479	557	603
480	558	602
481	559	600
482	559	599
483	560	597
484	561	596
485	562	594
486	563	593
487	564	591
488	565	590
489	565	588
490	566	587
491	567	586
492	568	584
493	569	583
494	570	581
495	571	580
496	571	578
497	572	577
498	573	575
499	574	574
500	575	572
501	576	571
502	576	569
503	577	568
504	578	567
505	579	565
506	580	564
507	581	562
508	582	561
509	583	560
510	584	558
511	584	557
512	585	556
513	586	554
514	587	553
515	588	551
